rep,cycles
0,267
1,267
2,237
3,486
4,234
5,252
6,249
7,246
8,255
9,255
10,486
11,255
12,249
13,252
14,255
15,252
16,255
17,510
18,252
19,258
20,255
21,243
22,261
23,252
24,486
25,243
26,252
27,255
28,267
29,249
30,255
31,228
32,243
33,252
34,255
35,246
36,255
37,255
38,489
39,252
40,249
41,273
42,249
43,249
44,252
45,486
46,252
47,240
48,246
49,249
50,249
51,252
52,489
53,252
54,246
55,246
56,255
57,255
58,249
59,489
60,252
61,249
62,246
63,255
64,249
65,255
66,774
67,255
68,252
69,249
70,255
71,234
72,255
73,234
74,258
75,255
76,249
77,249
78,252
79,249
80,486
81,252
82,249
83,249
84,249
85,243
86,252
87,486
88,255
89,255
90,252
91,249
92,252
93,255
94,486
95,249
96,252
97,246
98,252
99,246
100,249
101,486
102,243
103,255
104,255
105,243
106,258
107,255
108,489
109,243
110,255
111,252
112,246
113,252
114,249
115,489
116,249
117,252
118,240
119,258
120,249
121,252
122,489
123,252
124,249
125,252
126,246
127,261
128,252
129,489
130,252
131,258
132,252
133,252
134,243
135,258
136,489
137,255
138,249
139,240
140,249
141,249
142,252
143,525
144,249
145,255
146,234
147,240
148,255
149,252
150,483
151,282
152,246
153,249
154,252
155,255
156,234
157,777
158,243
159,270
160,255
161,255
162,243
163,255
164,489
165,252
166,249
167,282
168,258
169,255
170,243
171,510
172,255
173,252
174,240
175,285
176,240
177,249
178,489
179,252
180,249
181,255
182,246
183,288
184,249
185,774
186,252
187,249
188,252
189,249
190,243
191,279
192,486
193,255
194,249
195,243
196,243
197,249
198,249
199,492
200,249
201,255
202,246
203,243
204,249
205,249
206,786
207,282
208,249
209,249
210,255
211,252
212,231
213,486
214,243
215,255
216,255
217,255
218,249
219,255
220,489
221,252
222,249
223,282
224,255
225,252
226,249
227,780
228,249
229,252
230,255
231,282
232,252
233,240
234,492
235,258
236,249
237,252
238,243
239,282
240,252
241,489
242,1059
243,240
244,246
245,249
246,246
247,270
248,246
249,1041
250,246
251,249
252,246
253,243
254,252
255,279
256,780
257,240
258,246
259,252
260,246
261,249
262,243
263,789
264,249
265,243
266,249
267,256
268,240
269,246
270,246
271,1040
272,258
273,244
274,266
275,244
276,238
277,238
278,1098
279,276
280,244
281,266
282,242
283,220
284,240
285,242
286,244
287,258
288,242
289,244
290,262
291,244
292,1036
293,220
294,242
295,260
296,246
297,256
298,242
299,1036
300,246
301,246
302,260
303,244
304,244
305,246
306,1028
307,250
308,250
309,266
310,242
311,240
312,238
313,1024
314,258
315,244
316,244
317,258
318,266
319,244
320,1022
321,260
322,246
323,246
324,244
325,256
326,242
327,1030
328,242
329,246
330,242
331,244
332,244
333,262
334,1034
335,238
336,246
337,238
338,244
339,248
340,248
341,1040
342,246
343,262
344,242
345,242
346,242
347,260
348,774
349,260
350,244
351,242
352,244
353,246
354,242
355,1036
356,260
357,260
358,244
359,242
360,244
361,258
362,1038
363,258
364,242
365,242
366,258
367,242
368,242
369,1026
370,242
371,238
372,244
373,246
374,242
375,250
376,1038
377,242
378,248
379,246
380,244
381,246
382,254
383,774
384,260
385,244
386,266
387,244
388,238
389,238
390,1040
391,244
392,264
393,246
394,242
395,242
396,244
397,1034
398,248
399,248
400,244
401,246
402,242
403,250
404,1038
405,242
406,248
407,258
408,240
409,242
410,242
411,774
412,244
413,242
414,246
415,244
416,240
417,246
418,1028
419,250
420,242
421,262
422,238
423,244
424,244
425,1038
426,246
427,258
428,246
429,240
430,260
431,242
432,1020
433,248
434,242
435,258
436,244
437,258
438,244
439,774
440,244
441,266
442,242
443,220
444,240
445,248
446,1024
447,240
448,244
449,244
450,266
451,244
452,262
453,1032
454,242
455,244
456,238
457,242
458,248
459,246
460,1036
461,258
462,244
463,240
464,246
465,244
466,242
467,772
468,240
469,266
470,242
471,246
472,238
473,246
474,1040
475,246
476,238
477,246
478,244
479,242
480,244
481,1034
482,248
483,258
484,238
485,242
486,242
487,262
488,1020
489,248
490,242
491,258
492,244
493,258
494,244
495,782
496,244
497,260
498,246
499,246
500,238
501,246
502,1040
503,258
504,242
505,246
506,242
507,244
508,242
509,1026
510,244
511,242
512,240
513,242
514,242
515,242
516,1024
517,242
518,248
519,246
520,244
521,246
522,254
523,1024
524,242
525,246
526,242
527,246
528,260
529,240
530,1024
531,246
532,240
533,244
534,246
535,244
536,248
537,1030
538,244
539,224
540,240
541,244
542,238
543,246
544,774
545,242
546,266
547,244
548,242
549,246
550,246
551,1036
552,246
553,260
554,246
555,246
556,238
557,246
558,1040
559,258
560,242
561,246
562,242
563,244
564,242
565,1026
566,244
567,242
568,240
569,242
570,242
571,242
572,1024
573,242
574,248
575,246
576,244
577,246
578,254
579,1024
580,242
581,246
582,242
583,246
584,260
585,240
586,1024
587,246
588,240
589,244
590,246
591,244
592,248
593,1030
594,244
595,224
596,240
597,244
598,238
599,246
600,774
601,242
602,266
603,244
604,242
605,246
606,246
607,1036
608,246
609,260
610,246
611,246
612,238
613,246
614,1040
615,246
616,238
617,246
618,244
619,240
620,248
621,1030
622,248
623,244
624,248
625,240
626,260
627,240
628,1038
629,262
630,238
631,244
632,244
633,258
634,238
635,1034
636,244
637,260
638,220
639,242
640,246
641,248
642,792
643,244
644,244
645,258
646,220
647,240
648,248
649,1030
650,248
651,246
652,242
653,240
654,260
655,240
656,1038
657,262
658,238
659,244
660,244
661,258
662,238
663,1034
664,242
665,244
666,262
667,244
668,260
669,246
670,1040
671,246
672,242
673,258
674,242
675,220
676,240
677,1024
678,244
679,258
680,244
681,258
682,244
683,244
684,796
685,260
686,246
687,246
688,244
689,256
690,242
691,1030
692,242
693,246
694,242
695,244
696,244
697,262
698,1034
699,262
700,244
701,266
702,242
703,220
704,240
705,1024
706,244
707,258
708,244
709,258
710,244
711,244
712,1044
713,260
714,220
715,240
716,246
717,244
718,242
719,1022
720,262
721,242
722,248
723,246
724,260
725,240
726,1038
727,240
728,258
729,244
730,220
731,240
732,248
733,1030
734,248
735,244
736,248
737,240
738,260
739,240
740,1038
741,262
742,238
743,244
744,244
745,258
746,238
747,1034
748,244
749,260
750,220
751,242
752,246
753,248
754,792
755,244
756,244
757,258
758,220
759,242
760,244
761,1034
762,248
763,258
764,238
765,242
766,242
767,262
768,1020
769,248
770,242
771,258
772,244
773,258
774,244
775,1032
776,246
777,238
778,262
779,244
780,258
781,240
782,1024
783,246
784,240
785,244
786,246
787,244
788,248
789,1030
790,244
791,224
792,240
793,244
794,238
795,246
796,774
797,242
798,266
799,244
800,242
801,246
802,246
803,1036
804,246
805,260
806,246
807,246
808,238
809,246
810,1040
811,246
812,238
813,246
814,244
815,242
816,244
817,1034
818,248
819,258
820,238
821,242
822,242
823,262
824,1020
825,248
826,242
827,258
828,244
829,258
830,244
831,782
832,244
833,260
834,246
835,246
836,238
837,246
838,1040
839,246
840,238
841,246
842,244
843,240
844,248
845,1030
846,248
847,244
848,248
849,240
850,260
851,240
852,1038
853,262
854,238
855,244
856,244
857,258
858,238
859,1034
860,244
861,260
862,220
863,242
864,246
865,248
866,792
867,244
868,244
869,258
870,220
871,242
872,244
873,1034
874,248
875,258
876,238
877,242
878,242
879,262
880,1020
881,248
882,242
883,258
884,244
885,258
886,244
887,1032
888,246
889,238
890,262
891,244
892,258
893,240
894,1024
895,242
896,242
897,266
898,242
899,240
900,238
901,1024
902,258
903,262
904,246
905,248
906,266
907,246
908,772
909,246
910,260
911,244
912,244
913,244
914,246
915,1020
916,244
917,242
918,240
919,260
920,246
921,262
922,1024
923,246
924,242
925,258
926,242
927,242
928,248
929,1040
930,246
931,246
932,240
933,242
934,242
935,246
936,774
937,220
938,242
939,260
940,246
941,256
942,242
943,1020
944,246
945,240
946,238
947,258
948,244
949,246
950,1028
951,258
952,246
953,242
954,244
955,240
956,238
957,1024
958,258
959,262
960,246
961,248
962,266
963,246
964,772
965,246
966,260
967,244
968,244
969,244
970,246
971,1020
972,244
973,242
974,240
975,260
976,246
977,262
978,1024
979,246
980,242
981,258
982,242
983,242
984,248
985,1040
986,246
987,246
988,240
989,242
990,242
991,248
992,778
993,262
994,238
995,246
996,220
997,246
998,254
999,1024
1000,242
1001,246
1002,242
1003,246
1004,260
1005,240
1006,1024
1007,246
1008,240
1009,244
1010,246
1011,244
1012,248
1013,1030
1014,244
1015,248
1016,246
1017,242
1018,242
1019,242
1020,1030
1021,238
1022,242
1023,250
1024,260
1025,242
1026,258
1027,1030
1028,242
1029,246
1030,242
1031,246
1032,260
1033,240
1034,1024
1035,246
1036,240
1037,244
1038,246
1039,244
1040,248
1041,1030
1042,244
1043,224
1044,240
1045,244
1046,238
1047,246
1048,774
1049,242
1050,266
1051,244
1052,242
1053,246
1054,246
1055,1036
1056,246
1057,260
1058,246
1059,246
1060,238
1061,246
1062,1040
1063,246
1064,238
1065,246
1066,244
1067,240
1068,248
1069,1030
1070,248
1071,246
1072,242
1073,240
1074,260
1075,240
1076,1038
1077,262
1078,238
1079,244
1080,244
1081,258
1082,238
1083,1034
1084,244
1085,260
1086,220
1087,242
1088,246
1089,248
1090,792
1091,244
1092,244
1093,258
1094,220
1095,242
1096,244
1097,1034
1098,248
1099,258
1100,238
1101,242
1102,242
1103,262
1104,1020
1105,248
1106,242
1107,258
1108,244
1109,258
1110,244
1111,1032
1112,246
1113,238
1114,262
1115,244
1116,258
1117,240
1118,1024
1119,246
1120,240
1121,244
1122,246
1123,244
1124,248
1125,1030
1126,244
1127,224
1128,240
1129,244
1130,238
1131,246
1132,774
1133,242
1134,266
1135,244
1136,242
1137,246
1138,246
1139,1036
1140,246
1141,260
1142,246
1143,246
1144,238
1145,246
1146,1040
1147,246
1148,238
1149,246
1150,244
1151,242
1152,244
1153,1034
1154,248
1155,258
1156,238
1157,242
1158,242
1159,262
1160,1020
1161,248
1162,242
1163,258
1164,244
1165,258
1166,244
1167,782
1168,244
1169,260
1170,246
1171,246
1172,238
1173,246
1174,1040
1175,246
1176,238
1177,246
1178,244
1179,240
1180,248
1181,1030
1182,248
1183,244
1184,248
1185,240
1186,260
1187,240
1188,1038
1189,262
1190,238
1191,244
1192,244
1193,258
1194,238
1195,1034
1196,244
1197,260
1198,220
1199,242
1200,246
1201,248
1202,792
1203,244
1204,244
1205,258
1206,220
1207,242
1208,244
1209,1034
1210,248
1211,258
1212,238
1213,242
1214,242
1215,262
1216,1020
1217,248
1218,242
1219,258
1220,244
1221,258
1222,244
1223,1028
1224,246
1225,238
1226,262
1227,244
1228,258
1229,240
1230,1024
1231,246
1232,240
1233,244
1234,246
1235,244
1236,248
1237,1030
1238,244
1239,224
1240,240
1241,244
1242,238
1243,246
1244,774
1245,242
1246,266
1247,244
1248,242
1249,246
1250,246
1251,1036
1252,246
1253,260
1254,246
1255,246
1256,238
1257,246
1258,1040
1259,246
1260,238
1261,246
1262,244
1263,242
1264,244
1265,1034
1266,248
1267,258
1268,238
1269,242
1270,242
1271,262
1272,1020
1273,248
1274,242
1275,258
1276,244
1277,258
1278,244
1279,782
1280,244
1281,260
