exponent,size_bytes,n_outliers,outlier_percentage,max_outlier,min_outlier,normal_range_lower,normal_range_upper
6,64,10481,5.2405,37820,20,162.0,274.0
7,128,41555,20.7775,38444,38,190.0,206.0
8,256,31874,15.937000000000001,713339,216,191.0,215.0
9,512,28452,14.225999999999999,715415,206,218.0,282.0
10,1024,9195,4.5975,713515,354,360.0,424.0
11,2048,11292,5.646,704875,954,440.0,952.0
12,4096,18799,9.3995,39017,1240,1389.0,1925.0
13,8192,1988,3.9759999999999995,39734,4012,2010.0,4010.0
14,16384,1430,2.86,41558,5490,3504.0,5488.0
15,32768,136,0.272,727491,11562,7608.0,11560.0
16,65536,569,1.138,747962,16696,16870.0,20998.0
20,1048576,140,1.7500000000000002,995639,246606,248941.0,270633.0
21,2097152,19,0.95,1264269,495826,495942.75,527032.75
