size_bytes,cycles_mean,cycles_std,cycles_min,cycles_max,cycles_median,latency_ns_mean,latency_ns_std,latency_ns_median
64,239.07,140.39,20,37820,218.0,95.63,56.16,87.2
128,216.76,148.57,38,38444,198.0,86.7,59.43,79.2
256,215.29,1600.36,194,713339,202.0,86.12,640.14,80.8
512,354.71,1622.31,206,715415,246.0,141.88,648.93,98.4
1024,421.7,1614.94,354,713515,388.0,168.68,645.98,155.2
2048,748.05,1602.3,532,704875,722.0,299.22,640.92,288.8
4096,1703.89,280.45,1240,39017,1668.0,681.55,112.18,667.2
8192,3035.1,497.29,2328,39734,2850.0,1214.04,198.92,1140.0
16384,4564.94,472.05,3796,41558,4474.0,1825.97,188.82,1789.6
32768,9653.68,3332.6,8098,727491,9606.0,3861.47,1333.04,3842.4
65536,19053.62,7287.81,16696,747962,18926.0,7621.45,2915.13,7570.4
1048576,260944.77,24926.64,246606,995639,259662.0,104377.91,9970.66,103864.8
2097152,513288.36,33863.4,495826,1264269,511345.0,205315.34,13545.36,204538.0
